Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_038884355.1	Thermoproteota archaeon	2056631	DRTY-6_201907_bins_11		2024-04-30	SAMN36037284	DRTY-6_201907_bins_11		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038885155.1	Thermoproteota archaeon	2056631	JZ-3_201912_bins_84		2024-04-30	SAMN36037873	JZ-3_201912_bins_84		Hot spring sediment	China: Tengchong county, Yunnan, JZ-3 pool	25.44 N 98.46 E	2019-12						haploid
GCA_038886015.1	Thermoproteota archaeon	2056631	JZ-3_201901_bins_4		2024-04-30	SAMN36037832	JZ-3_201901_bins_4		Hot spring sediment	China: Tengchong county, Yunnan, JZ-3 pool	25.44 N 98.46 E	2019-01						haploid
GCA_038886615.1	Thermoproteota archaeon	2056631	SRBZ-1_202007_bins_94		2024-04-30	SAMN36038170	SRBZ-1_202007_bins_94		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887685.1	Thermoproteota archaeon	2056631	SRBZ-1_201901_bins_47		2024-04-30	SAMN36038125	SRBZ-1_201901_bins_47		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888305.1	Thermoproteota archaeon	2056631	SRBZ-1_201808_bins_67		2024-04-30	SAMN36038091	SRBZ-1_201808_bins_67		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038894835.1	Thermoproteota archaeon	2056631	SZTDM-1b_201709_bins_6		2024-04-30	SAMN36038240	SZTDM-1b_201709_bins_6		Hot spring sediment	China: Tengchong county, Yunnan, SZTDM-1b pool	24.95 N 98.44 E	2017-09						haploid
GCA_041640715.1	Thermoproteota archaeon	2056631	03V1_S199.semibin_refined.032		2024-08-29	SAMN39825528	03V1_S199.semibin_refined.032		hot spring water	Turkey: Balikesir Hisaralan	39.287251 N 28.341724 E	2021-12-01						haploid
GCA_041641355.1	Thermoproteota archaeon	2056631	03V1_S199.concoct.120_sub		2024-08-29	SAMN39825497	03V1_S199.concoct.120_sub		hot spring water	Turkey: Balikesir Hisaralan	39.287251 N 28.341724 E	2021-12-01						haploid
GCA_038881835.1	Thermoproteus sp.	2268139	DRTY-6_202007_bins_35		2024-04-30	SAMN36037408	DRTY-6_202007_bins_35		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038893495.1	Thermoproteus sp.	2268139	ZMQL_201912_bins_1		2024-04-30	SAMN36038315	ZMQL_201912_bins_1		Hot spring sediment	China: Tengchong county, Yunnan, ZMQL pool	24.95 N 98.44 E	2019-12						haploid
GCA_041287225.1	Thermoproteus sp.	2268139	KC_019		2024-08-14	SAMN41900981	KC_019		hot spring water	Indonesia: Central Java, Banjarnegara, Candradimuka Hot Springs	7.18848 S 109.85329 E	2023-09-09						haploid
GCA_038887375.1	Thermosphaera sp.	2831947	SRBZ-1_201907_bins_8		2024-04-30	SAMN36038144	SRBZ-1_201907_bins_8		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-07						haploid
GCA_038888075.1	Thermosphaera sp.	2831947	SRBZ-1_201901_bins_14		2024-04-30	SAMN36038103	SRBZ-1_201901_bins_14		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038889215.1	Thermosphaera sp.	2831947	SRBZ-1_201808_bins_11		2024-04-30	SAMN36038058	SRBZ-1_201808_bins_11		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889325.1	Thermosphaera sp.	2831947	SRBZ-1_201803_bins_9		2024-04-30	SAMN36038055	SRBZ-1_201803_bins_9		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-03						haploid
GCA_038889755.1	Thermosphaera sp.	2831947	SRBZ_201705_bins_183		2024-04-30	SAMN36038041	SRBZ_201705_bins_183		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ pool	24.95 N 98.44 E	2017-05						haploid
GCA_038892335.1	Thermosphaera sp.	2831947	ZMQR_201803_bins_11		2024-04-30	SAMN36038370	ZMQR_201803_bins_11		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2018-03						haploid
GCA_038892445.1	Thermosphaera sp.	2831947	ZMQR_201709_bins_8		2024-04-30	SAMN36038366	ZMQR_201709_bins_8		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2017-09						haploid
GCA_038893075.1	Thermosphaera sp.	2831947	ZMQR_201705_bins_18		2024-04-30	SAMN36038334	ZMQR_201705_bins_18		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2017-05						haploid
GCA_038893575.1	Thermosphaera sp.	2831947	ZMQL_201709_bins_4		2024-04-30	SAMN36038310	ZMQL_201709_bins_4		Hot spring sediment	China: Tengchong county, Yunnan, ZMQL pool	24.95 N 98.44 E	2017-09						haploid
GCA_038894755.1	Thermosphaera sp.	2831947	SZTDM-1c_201709_bins_31		2024-04-30	SAMN36038247	SZTDM-1c_201709_bins_31		Hot spring sediment	China: Tengchong county, Yunnan, SZTDM-1c pool	24.95 N 98.44 E	2017-09						haploid
GCA_038895155.1	Thermosphaera sp.	2831947	SZTDM-1b_201709_bins_1		2024-04-30	SAMN36038223	SZTDM-1b_201709_bins_1		Hot spring sediment	China: Tengchong county, Yunnan, SZTDM-1b pool	24.95 N 98.44 E	2017-09						haploid
GCA_038895275.1	Thermosphaera sp.	2831947	SRBZ-2_201901_bins_25		2024-04-30	SAMN36038220	SRBZ-2_201901_bins_25		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-2 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038895755.1	Thermosphaera sp.	2831947	SRBZ-2_201803_bins_3		2024-04-30	SAMN36038194	SRBZ-2_201803_bins_3		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-2 pool	24.95 N 98.44 E	2018-03						haploid
GCA_038896055.1	Thermosphaera sp.	2831947	SRBZ-2_201709_bins_5		2024-04-30	SAMN36038179	SRBZ-2_201709_bins_5		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-2 pool	24.95 N 98.44 E	2017-09						haploid
GCA_038897295.1	Thermosphaera sp.	2831947	ZMQR_201912_bins_4		2024-04-30	SAMN36038456	ZMQR_201912_bins_4		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2019-12						haploid
GCA_038898015.1	Thermosphaera sp.	2831947	ZMQR_201901_bins_18		2024-04-30	SAMN36038418	ZMQR_201901_bins_18		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2019-01						haploid
GCA_038881155.1	Zestosphaera sp.	2303494	DRTY-7_201803_bins_112		2024-04-30	SAMN36037443	DRTY-7_201803_bins_112		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-7 pool	24.95 N 98.44 E	2018-03						haploid
GCA_038886815.1	Zestosphaera sp.	2303494	SRBZ-1_202007_bins_61		2024-04-30	SAMN36038161	SRBZ-1_202007_bins_61		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2020-07						haploid
GCA_038887495.1	Zestosphaera sp.	2303494	SRBZ-1_201901_bins_9		2024-04-30	SAMN36038135	SRBZ-1_201901_bins_9		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038887815.1	Zestosphaera sp.	2303494	SRBZ-1_201901_bins_36		2024-04-30	SAMN36038119	SRBZ-1_201901_bins_36		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038888575.1	Zestosphaera sp.	2303494	SRBZ-1_201808_bins_42		2024-04-30	SAMN36038078	SRBZ-1_201808_bins_42		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-08						haploid
GCA_038889455.1	Zestosphaera sp.	2303494	SRBZ-1_201803_bins_41		2024-04-30	SAMN36038053	SRBZ-1_201803_bins_41		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-1 pool	24.95 N 98.44 E	2018-03						haploid
GCA_038892575.1	Zestosphaera sp.	2303494	ZMQR_201709_bins_23		2024-04-30	SAMN36038360	ZMQR_201709_bins_23		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2017-09						haploid
GCA_038892795.1	Zestosphaera sp.	2303494	ZMQR_201705_bins_8		2024-04-30	SAMN36038348	ZMQR_201705_bins_8		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2017-05						haploid
GCA_038893775.1	Zestosphaera sp.	2303494	ZMQL_201709_bins_17		2024-04-30	SAMN36038296	ZMQL_201709_bins_17		Hot spring sediment	China: Tengchong county, Yunnan, ZMQL pool	24.95 N 98.44 E	2017-09						haploid
GCA_038894715.1	Zestosphaera sp.	2303494	SZTDM-1c_201709_bins_4		2024-04-30	SAMN36038251	SZTDM-1c_201709_bins_4		Hot spring sediment	China: Tengchong county, Yunnan, SZTDM-1c pool	24.95 N 98.44 E	2017-09						haploid
GCA_038894975.1	Zestosphaera sp.	2303494	SZTDM-1b_201709_bins_26		2024-04-30	SAMN36038234	SZTDM-1b_201709_bins_26		Hot spring sediment	China: Tengchong county, Yunnan, SZTDM-1b pool	24.95 N 98.44 E	2017-09						haploid
GCA_038895435.1	Zestosphaera sp.	2303494	SRBZ-2_201901_bins_214		2024-04-30	SAMN36038213	SRBZ-2_201901_bins_214		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-2 pool	24.95 N 98.44 E	2019-01						haploid
GCA_038895735.1	Zestosphaera sp.	2303494	SRBZ-2_201803_bins_4		2024-04-30	SAMN36038195	SRBZ-2_201803_bins_4		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-2 pool	24.95 N 98.44 E	2018-03						haploid
GCA_038896075.1	Zestosphaera sp.	2303494	SRBZ-2_201709_bins_16		2024-04-30	SAMN36038177	SRBZ-2_201709_bins_16		Hot spring sediment	China: Tengchong county, Yunnan, SRBZ-2 pool	24.95 N 98.44 E	2017-09						haploid
GCA_038897595.1	Zestosphaera sp.	2303494	ZMQR_201912_bins_19		2024-04-30	SAMN36038438	ZMQR_201912_bins_19		Hot spring sediment	China: Tengchong county, Yunnan, ZMQR pool	24.95 N 98.44 E	2019-12						haploid
GCA_046533895.1	Acidianus hospitalis	563177	RHS.bin.1		2025-01-07	SAMN37494483	RHS.bin.1		hot spring sediments from shelf	USA: Yellowstone National Park; RHS Spring	44.65327 N 110.73457 W	2018				true	unverified source organism	haploid
GCA_046533515.1	Acidianus sp.	1872104	SBS.bin.13		2025-01-07	SAMN37494500	SBS.bin.13		hot spring sediments from shelf	USA: Yellowstone National Park; SBS Spring	44.690397 N 110.7296 W	2018						haploid
GCA_046534395.1	Acidianus sp.	1872104	Moose.S.bin.11		2025-01-07	SAMN37494459	Moose.S.bin.11		hot spring sediments from shelf	USA: Yellowstone National Park; Moose Spring	44.61831 N 110.43552 W	2018						haploid
GCA_046537415.1	Acidianus sp.	1872104	Alice.S.bin.1		2025-01-07	SAMN37494392	Alice.S.bin.1		hot spring sediments from shelf	USA: Yellowstone National Park; Alice Spring	44.39118 N 110.29506 W	2018						haploid
GCA_046296235.1	Acidilobaceae archaeon	2933264	21H_022.bin.24		2024-12-25	SAMN45832927	21H_022.bin.24		hot spring water	China:Tibet	30.88 N 91.61 E	2021-08-21						haploid
GCA_049414325.1	Acidilobaceae archaeon	2933264	Acidilobaceae-CON-C-r02		2025-04-09	SAMN44752212	Acidilobaceae-CON-C-r02		Geothermal channel	USA: Yellowstone National Park	44.5564119 N 110.8321604 W	2012-10-05						haploid
GCA_049414765.1	Acidilobaceae archaeon	2933264	Acidilobaceae-OCT-B-r01		2025-04-09	SAMN44752205	Acidilobaceae-OCT-B-r01		Geothermal channel	USA: Yellowstone National Park	44.5340836 N 110.7978895 W	2011-10-13						haploid
GCA_053490955.1	Acidilobaceae archaeon	2933264	AB11.MAG30		2025-11-14	SAMN51250523	AB11.MAG30		hot spring	USA:Great Basin	42.33464894 N 118.6029122 W	2023						haploid
GCA_053491495.1	Acidilobaceae archaeon	2933264	AB08.MAG45		2025-11-14	SAMN51250498	AB08.MAG45		hot spring	USA:Great Basin	42.3339991 N 118.60302 W	2023						haploid
GCA_053500475.1	Acidilobaceae archaeon	2933264	AY03.MAG64		2025-11-15	SAMN51250826	AY03.MAG64		hot spring	USA:Yellowstone National Park	44.52120059 N 110.8119014 W	2023						haploid
GCA_053988555.1	Acidilobaceae archaeon	2933264	4556-2-45_bin.84		2025-12-16	SAMN47791037	4556-2-45_bin.84		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053988895.1	Acidilobaceae archaeon	2933264	4556-2-45_bin.37		2025-12-16	SAMN47791019	4556-2-45_bin.37		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053989015.1	Acidilobaceae archaeon	2933264	4556-2-45_bin.181		2025-12-16	SAMN47791011	4556-2-45_bin.181		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_054005495.1	Acidilobaceae archaeon	2933264	444-23-R2-1-1360_bin.46		2025-12-16	SAMN49583566	444-23-R2-1-1360_bin.46		deep-sea hydrothermal deposit	Pacific Ocean: Eastern Lau Spreading Center-Valu Fa Ridge	20.684485 S 176.183308 W	2009						haploid
GCA_054011675.1	Acidilobaceae archaeon	2933264	124-5-R1-1-33_bin.67		2025-12-16	SAMN49583275	124-5-R1-1-33_bin.67		deep-sea hydrothermal deposit	Pacific Ocean: Eastern Lau Spreading Center-Valu Fa Ridge	20.053907 S 176.133451 W	2005						haploid
GCA_046533535.1	Acidilobus sp.	1872109	SBS.bin.14		2025-01-07	SAMN37494501	SBS.bin.14		hot spring sediments from shelf	USA: Yellowstone National Park; SBS Spring	44.690397 N 110.7296 W	2018						haploid
GCA_046533795.1	Acidilobus sp.	1872109	RHS.bin.6		2025-01-07	SAMN37494488	RHS.bin.6		hot spring sediments from shelf	USA: Yellowstone National Park; RHS Spring	44.65327 N 110.73457 W	2018						haploid
GCA_046533815.1	Acidilobus sp.	1872109	RHS.bin.4		2025-01-07	SAMN37494486	RHS.bin.4		hot spring sediments from shelf	USA: Yellowstone National Park; RHS Spring	44.65327 N 110.73457 W	2018						haploid
GCA_046534115.1	Acidilobus sp.	1872109	OHSPS.bin.10		2025-01-07	SAMN37494469	OHSPS.bin.10		hot spring sediments from shelf	USA: Yellowstone National Park; OHSPS Spring	44.73302 N 110.70935 W	2018						haploid
GCA_046534195.1	Acidilobus sp.	1872109	Moose.S.bin.9		2025-01-07	SAMN37494467	Moose.S.bin.9		hot spring sediments from shelf	USA: Yellowstone National Park; Moose Spring	44.61831 N 110.43552 W	2018						haploid
GCA_046536475.1	Acidilobus sp.	1872109	F8S.bin.8		2025-01-07	SAMN37494439	F8S.bin.8		hot spring sediments from shelf	USA: Yellowstone National Park; F8 Spring	44.3633 N 110.2619 W	2018						haploid
GCA_046536635.1	Acidilobus sp.	1872109	F8S.bin.12		2025-01-07	SAMN37494429	F8S.bin.12		hot spring sediments from shelf	USA: Yellowstone National Park; F8 Spring	44.3633 N 110.2619 W	2018						haploid
GCA_046536935.1	Acidilobus sp.	1872109	DS.bin.13		2025-01-07	SAMN37494415	DS.bin.13		hot spring sediments from shelf	USA: Yellowstone National Park; DS Spring	44.4354 N 110.4239 W	2018						haploid
GCA_046537085.1	Acidilobus sp.	1872109	Cinder.S.bin.8		2025-01-07	SAMN37494409	Cinder.S.bin.8		hot spring sediments from shelf	USA: Yellowstone National Park; Cinder Spring	44.73244 N 110.70978 W	2018						haploid
GCA_046537175.1	Acidilobus sp.	1872109	Cinder.S.bin.11		2025-01-07	SAMN37494402	Cinder.S.bin.11		hot spring sediments from shelf	USA: Yellowstone National Park; Cinder Spring	44.73244 N 110.70978 W	2018						haploid
GCA_046537255.1	Acidilobus sp.	1872109	Cinder.S.bin.13		2025-01-07	SAMN37494403	Cinder.S.bin.13		hot spring sediments from shelf	USA: Yellowstone National Park; Cinder Spring	44.73244 N 110.70978 W	2018						haploid
GCA_046537315.1	Acidilobus sp.	1872109	Alice.S.bin.6		2025-01-07	SAMN37494397	Alice.S.bin.6		hot spring sediments from shelf	USA: Yellowstone National Park; Alice Spring	44.39118 N 110.29506 W	2018						haploid
GCA_049973875.1	Acidilobus sp.	1872109	KM4331-13		2025-04-28	SAMN47003087	KM4331-13		terrestrial hot spring	Russia: Kamchatka, caldera Uzon	54.49998310 N 160.00555202 E	2023-08						haploid
GCA_049974445.1	Acidilobus sp.	1872109	KM4324-30		2025-04-28	SAMN47003071	KM4324-30		terrestrial hot spring	Russia: Kamchatka, caldera Uzon	54.50098826 N 160.00456060 E	2023-08						haploid
GCA_049977005.1	Acidilobus sp.	1872109	KM4311-16		2025-04-28	SAMN47003029	KM4311-16		terrestrial hot spring	Russia: Kamchatka, caldera Uzon	54.50693262 N 160.00185117 E	2023-08						haploid
GCA_053497915.1	Acidilobus sp.	1872109	AY11.MAG35		2025-11-14	SAMN51250956	AY11.MAG35		hot spring	USA:Yellowstone National Park	44.52139807 N 110.8108107 W	2023						haploid
GCA_053498375.1	Acidilobus sp.	1872109	AY10.MAG4		2025-11-14	SAMN51250933	AY10.MAG4		hot spring	USA:Yellowstone National Park	44.521332 N 110.81119 W	2023-08-28						haploid
GCA_043195295.1	Acidiplasma aeolicum	507754	LAZ-3		2024-10-15	SAMN40547755	LAZ-3		steam vents from geothermal field	Mexico: Los Azufres geothermal field	19.7816 N 100.6577 W	2019-04-01						haploid
GCA_053997565.1	Aciduliprofundum sp.	2060325	T528-G2-109_bin.129		2025-12-16	SAMN47791491	T528-G2-109_bin.129		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.007068 N 111.408061 W	2003						haploid
GCA_054002635.1	Aciduliprofundum sp.	2060325	Adv9-388_bin.45		2025-12-16	SAMN49582525	Adv9-388_bin.45		deep-sea hydrothermal deposit	Pacific Ocean: East Pacific Rise	9.27883 N 104.2202 W	2002						haploid
GCA_046290005.1	Archaeoglobaceae archaeon	2511821	21I_069.bin.26		2024-12-25	SAMN45833155	21I_069.bin.26		hot spring water	China:Tibet	30.07 N 95.04 E	2021-08-21						haploid
GCA_053489555.1	Archaeoglobaceae archaeon	2511821	AB22.MAG079		2025-11-14	SAMN51250592	AB22.MAG079		hot spring	USA:Great Basin	42.32986271 N 118.6039475 W	2023						haploid
GCA_053489935.1	Archaeoglobaceae archaeon	2511821	AB22.MAG047		2025-11-14	SAMN51250574	AB22.MAG047		hot spring	USA:Great Basin	42.32986271 N 118.6039475 W	2023						haploid
GCA_053940045.1	Archaeoglobaceae archaeon	2511821	4559-3-258_bin.149		2025-12-12	SAMN47791213	4559-3-258_bin.149		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.007744 N 111.407078 W	2009						haploid
GCA_053940865.1	Archaeoglobaceae archaeon	2511821	4558-3-205_bin.39		2025-12-12	SAMN47791169	4558-3-205_bin.39		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.015045 N 111.410332 W	2009						haploid
GCA_053986915.1	Archaeoglobaceae archaeon	2511821	4556-2-56_bin.90		2025-12-16	SAMN47791097	4556-2-56_bin.90		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053987335.1	Archaeoglobaceae archaeon	2511821	4556-2-56_bin.57		2025-12-16	SAMN47791086	4556-2-56_bin.57		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053987875.1	Archaeoglobaceae archaeon	2511821	4556-2-56_bin.18		2025-12-16	SAMN47791070	4556-2-56_bin.18		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053988255.1	Archaeoglobaceae archaeon	2511821	4556-2-56_bin.121		2025-12-16	SAMN47791054	4556-2-56_bin.121		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053988755.1	Archaeoglobaceae archaeon	2511821	4556-2-45_bin.59		2025-12-16	SAMN47791027	4556-2-45_bin.59		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053988835.1	Archaeoglobaceae archaeon	2511821	4556-2-45_bin.42		2025-12-16	SAMN47791021	4556-2-45_bin.42		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053988935.1	Archaeoglobaceae archaeon	2511821	4556-2-45_bin.196		2025-12-16	SAMN47791015	4556-2-45_bin.196		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053989375.1	Archaeoglobaceae archaeon	2511821	4556-2-45_bin.144		2025-12-16	SAMN47790992	4556-2-45_bin.144		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.00639 N 111.409637 W	2009						haploid
GCA_053991315.1	Archaeoglobaceae archaeon	2511821	3523-3-203_bin.3		2025-12-16	SAMN47791691	3523-3-203_bin.3		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.014 N 111.411 W	2000						haploid
GCA_053993415.1	Archaeoglobaceae archaeon	2511821	3517-1-1_bin.46		2025-12-16	SAMN47791614	3517-1-1_bin.46		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.011 N 111.407 W	2000						haploid
GCA_053994355.1	Archaeoglobaceae archaeon	2511821	3517-1-1_bin.120		2025-12-16	SAMN47791581	3517-1-1_bin.120		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.011 N 111.407 W	2000						haploid
GCA_053995395.1	Archaeoglobaceae archaeon	2511821	T528-G2-109_bin.63		2025-12-16	SAMN47791551	T528-G2-109_bin.63		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.007068 N 111.408061 W	2003						haploid
GCA_053997495.1	Archaeoglobaceae archaeon	2511821	T528-G2-109_bin.130		2025-12-16	SAMN47791493	T528-G2-109_bin.130		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.007068 N 111.408061 W	2003						haploid
GCA_053998055.1	Archaeoglobaceae archaeon	2511821	T527-G1-95_bin.95		2025-12-16	SAMN47791475	T527-G1-95_bin.95		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.011212 N 111.405091 W	2003						haploid
GCA_053998395.1	Archaeoglobaceae archaeon	2511821	T527-G1-95_bin.65		2025-12-16	SAMN47791463	T527-G1-95_bin.65		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.011212 N 111.405091 W	2003						haploid
GCA_053998455.1	Archaeoglobaceae archaeon	2511821	T527-G1-95_bin.64		2025-12-16	SAMN47791462	T527-G1-95_bin.64		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.011212 N 111.405091 W	2003						haploid
GCA_054002675.1	Archaeoglobaceae archaeon	2511821	Adv9-388_bin.34		2025-12-16	SAMN49582521	Adv9-388_bin.34		deep-sea hydrothermal deposit	Pacific Ocean: East Pacific Rise	9.27883 N 104.2202 W	2002						haploid
GCA_054002995.1	Archaeoglobaceae archaeon	2511821	Adv9-388_bin.12		2025-12-16	SAMN49582506	Adv9-388_bin.12		deep-sea hydrothermal deposit	Pacific Ocean: East Pacific Rise	9.27883 N 104.2202 W	2002						haploid
GCA_054003055.1	Archaeoglobaceae archaeon	2511821	Adv9-388_bin.112		2025-12-16	SAMN49582503	Adv9-388_bin.112		deep-sea hydrothermal deposit	Pacific Ocean: East Pacific Rise	9.27883 N 104.2202 W	2002						haploid
GCA_054004515.1	Archaeoglobaceae archaeon	2511821	445-6-R1-1-1388_bin.29		2025-12-16	SAMN49583616	445-6-R1-1-1388_bin.29		deep-sea hydrothermal deposit	Pacific Ocean: Eastern Lau Spreading Center-Valu Fa Ridge	20.673903 S 176.180079 W	2009						haploid
GCA_054008055.1	Archaeoglobaceae archaeon	2511821	434-2-R1-1-36_bin.76		2025-12-16	SAMN49583436	434-2-R1-1-36_bin.76		deep-sea hydrothermal deposit	Pacific Ocean: Eastern Lau Spreading Center-Valu Fa Ridge	20.0538 S 176.133634 W	2009						haploid
GCA_054008595.1	Archaeoglobaceae archaeon	2511821	434-2-R1-1-36_bin.108		2025-12-16	SAMN49583409	434-2-R1-1-36_bin.108		deep-sea hydrothermal deposit	Pacific Ocean: Eastern Lau Spreading Center-Valu Fa Ridge	20.0538 S 176.133634 W	2009						haploid
GCA_054013215.1	Archaeoglobaceae archaeon	2511821	4375-3-32_bin.67		2025-12-16	SAMN49582362	4375-3-32_bin.67		deep-sea hydrothermal deposit	Pacific Ocean: East Pacific Rise	9.838561 N 104.291412 W	2007						haploid
GCA_054017175.1	Archaeoglobaceae archaeon	2511821	MS15-CHA3_bin.23		2025-12-16	SAMN49582698	MS15-CHA3_bin.23		deep-sea hydrothermal deposit	Atlantic Ocean: Mid-Atlantic Ridge	23.369 N 44.95 W	1995						haploid
GCA_054017215.1	Archaeoglobaceae archaeon	2511821	MS15-CHA3_bin.17		2025-12-16	SAMN49582696	MS15-CHA3_bin.17		deep-sea hydrothermal deposit	Atlantic Ocean: Mid-Atlantic Ridge	23.369 N 44.95 W	1995						haploid
GCA_054013995.1	Archaeoglobales archaeon	2250258	3336-2_bin.24		2025-12-16	SAMN49582859	3336-2_bin.24		deep-sea hydrothermal deposit	Pacific Ocean: Southern East Pacific Rise	21.57 S 114.3 W	1998/1999						haploid
GCA_053937685.1	Archaeoglobus sp.	1872626	4559-3-258_bin.91		2025-12-12	SAMN47791321	4559-3-258_bin.91		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.007744 N 111.407078 W	2009						haploid
GCA_053938905.1	Archaeoglobus sp.	1872626	4559-3-258_bin.273		2025-12-12	SAMN47791274	4559-3-258_bin.273		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.007744 N 111.407078 W	2009						haploid
GCA_053940885.1	Archaeoglobus sp.	1872626	4558-3-205_bin.33		2025-12-12	SAMN47791168	4558-3-205_bin.33		deep-sea hydrothermal deposit	Pacific Ocean: Gulf of California, Guaymas Basin	27.015045 N 111.410332 W	2009						haploid
